,Plant Code,Plant Name,State,Plant-Generator Code,Parent Company,Technology Code,Requires cooling?,Cooling Technology,Fuel,Latitude,Longitude,Water Basin (8-digit HUC),Water Resource Region,First Year of Operation,Nameplate Capacity (MW),Estimated Generation (MWh),Estimated Capacity Factor,Reported Water Source (Name),Reported Water Source (Type),Reported  Withdrawal (million gallons/yr),Reported  Consumption (million gallons/yr),Calculated Withdrawal (million gallons/yr),Calculated Withdrawal MIN (million gallons/yr),Calculated Withdrawal MAX (million gallons/yr),Calculated Consumption (million gallons/yr),Calculated Consumption MIN (million gallons/yr),Calculated Consumption MAX (million gallons/yr),Generator ID
27,10,Greene County,AL,10-1,#not reported,CL-OT-ST,Yes,Once-Through,Coal,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1965,299.2,1568767.0,0.5985394079798794,Warrior River,Surface Water,61464.99987058437,0.0,57024.68045,31375.34,78438.35,392.19175,156.8767,497.299139,1
28,10,Greene County,AL,10-2,#not reported,CL-OT-ST,Yes,Once-Through,Coal,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1966,269.2,1783126.0,0.756141145419881,Warrior River,Surface Water,69863.6823436722,0.0,64816.6301,35662.52,89156.3,445.7815,178.3126,565.250942,2
29,10,Greene County,AL,10-GT10,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1996,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT10
30,10,Greene County,AL,10-GT2,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1996,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT2
31,10,Greene County,AL,10-GT3,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1995,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT3
32,10,Greene County,AL,10-GT4,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1995,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT4
33,11,H Neely Henry Dam,AL,11-3,Southern Company,HY-NA-HY,No,None,Hydropower,33.766666666666666,-86.03555555555555,3150106,South Atlantic Gulf,1966,24.3,38765.666666666664,0.1821112927573269,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
34,11,H Neely Henry Dam,AL,11-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.766666666666666,-86.03555555555555,3150106,South Atlantic Gulf,1966,24.3,38765.666666666664,0.1821112927573269,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
35,11,H Neely Henry Dam,AL,11-2,Southern Company,HY-NA-HY,No,None,Hydropower,33.766666666666666,-86.03555555555555,3150106,South Atlantic Gulf,1966,24.3,38765.666666666664,0.1821112927573269,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
36,12,Holt Dam,AL,12-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.22027777777778,-87.56694444444445,3160112,South Atlantic Gulf,1968,40.0,116204.0,0.3316324200913242,Black Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
37,13,Jordan Dam,AL,13-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.60916666666667,-86.24111111111111,3150107,South Atlantic Gulf,1929,25.0,45253.75,0.20663812785388128,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
38,13,Jordan Dam,AL,13-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.60916666666667,-86.24111111111111,3150107,South Atlantic Gulf,1929,25.0,45253.75,0.20663812785388128,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
39,13,Jordan Dam,AL,13-3,Southern Company,HY-NA-HY,No,None,Hydropower,32.60916666666667,-86.24111111111111,3150107,South Atlantic Gulf,1929,25.0,45253.75,0.20663812785388128,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
40,13,Jordan Dam,AL,13-4,Southern Company,HY-NA-HY,No,None,Hydropower,32.60916666666667,-86.24111111111111,3150107,South Atlantic Gulf,1929,25.0,45253.75,0.20663812785388128,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,4
41,14,Logan Martin Dam,AL,14-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.424166666666665,-86.33444444444444,3150106,South Atlantic Gulf,1964,42.7,72196.66666666666,0.19301237974042823,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
42,14,Logan Martin Dam,AL,14-2,Southern Company,HY-NA-HY,No,None,Hydropower,33.424166666666665,-86.33444444444444,3150106,South Atlantic Gulf,1964,42.7,72196.66666666666,0.19301237974042823,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
43,14,Logan Martin Dam,AL,14-3,Southern Company,HY-NA-HY,No,None,Hydropower,33.424166666666665,-86.33444444444444,3150106,South Atlantic Gulf,1964,42.7,72196.66666666666,0.19301237974042823,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
44,15,Lay Dam,AL,15-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1968,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
45,15,Lay Dam,AL,15-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1968,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
46,15,Lay Dam,AL,15-3,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1967,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
47,15,Lay Dam,AL,15-4,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1967,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,4
48,15,Lay Dam,AL,15-5,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1967,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,5
49,15,Lay Dam,AL,15-6,Southern Company,HY-NA-HY,No,None,Hydropower,32.96055555555556,-86.51888888888888,3150107,South Atlantic Gulf,1967,29.5,61497.333333333336,0.23797435698991307,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,6
50,16,Martin Dam,AL,16-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.67972222222222,-85.91250000000001,3150110,South Atlantic Gulf,1927,50.2,37734.858499525166,0.08580940734669806,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
51,16,Martin Dam,AL,16-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.67972222222222,-85.91250000000001,3150110,South Atlantic Gulf,1927,50.2,37734.858499525166,0.08580940734669806,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
52,16,Martin Dam,AL,16-3,Southern Company,HY-NA-HY,No,None,Hydropower,32.67972222222222,-85.91250000000001,3150110,South Atlantic Gulf,1927,50.2,37734.858499525166,0.08580940734669806,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
53,16,Martin Dam,AL,16-4,Southern Company,HY-NA-HY,No,None,Hydropower,32.67972222222222,-85.91250000000001,3150110,South Atlantic Gulf,1952,60.0,45101.424501424495,0.08580940734669805,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,4
54,17,Mitchell Dam,AL,17-7,Southern Company,HY-NA-HY,No,None,Hydropower,32.801944444444445,-86.43694444444445,3150107,South Atlantic Gulf,1985,50.0,92783.23529411765,0.2118338705345152,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,7
55,17,Mitchell Dam,AL,17-4,Southern Company,HY-NA-HY,No,None,Hydropower,32.801944444444445,-86.43694444444445,3150107,South Atlantic Gulf,1949,20.0,37113.294117647056,0.21183387053451516,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,4
56,17,Mitchell Dam,AL,17-5,Southern Company,HY-NA-HY,No,None,Hydropower,32.801944444444445,-86.43694444444445,3150107,South Atlantic Gulf,1985,50.0,92783.23529411765,0.2118338705345152,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,5
57,17,Mitchell Dam,AL,17-6,Southern Company,HY-NA-HY,No,None,Hydropower,32.801944444444445,-86.43694444444445,3150107,South Atlantic Gulf,1985,50.0,92783.23529411765,0.2118338705345152,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,6
58,18,Lewis Smith Dam,AL,18-2,Southern Company,HY-NA-HY,No,None,Hydropower,33.93722222222222,-87.10694444444444,3160110,South Atlantic Gulf,1962,78.7,62372.0,0.09047130018044362,Sipsey Fork Black Warrior Rive,Surface Water,0.0,0.0,0,0,0,0,0,0,2
59,18,Lewis Smith Dam,AL,18-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.93722222222222,-87.10694444444444,3160110,South Atlantic Gulf,1961,78.7,62372.0,0.09047130018044362,Sipsey Fork Black Warrior Rive,Surface Water,0.0,0.0,0,0,0,0,0,0,1
60,19,Thurlow Dam,AL,19-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.559444444444445,-85.89750000000001,3150110,South Atlantic Gulf,1931,40.5,49337.01098901099,0.1390636760499774,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
61,19,Thurlow Dam,AL,19-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.559444444444445,-85.89750000000001,3150110,South Atlantic Gulf,1931,40.5,49337.01098901099,0.1390636760499774,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
62,19,Thurlow Dam,AL,19-3,Southern Company,HY-NA-HY,No,None,Hydropower,32.559444444444445,-85.89750000000001,3150110,South Atlantic Gulf,1931,10.0,12181.978021978022,0.13906367604997744,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
63,20,Weiss Dam,AL,20-1,Southern Company,HY-NA-HY,No,None,Hydropower,34.18444444444444,-85.7625,3150105,South Atlantic Gulf,1962,29.2,39606.0,0.15483674235316194,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
64,20,Weiss Dam,AL,20-2,Southern Company,HY-NA-HY,No,None,Hydropower,34.18444444444444,-85.7625,3150105,South Atlantic Gulf,1961,29.2,39606.0,0.15483674235316194,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
65,20,Weiss Dam,AL,20-3,Southern Company,HY-NA-HY,No,None,Hydropower,34.18444444444444,-85.7625,3150105,South Atlantic Gulf,1961,29.2,39606.0,0.15483674235316194,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
66,21,Yates Dam,AL,21-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.57944444444445,-85.89166666666668,3150110,South Atlantic Gulf,1928,25.5,33796.841584158414,0.15129752701297525,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
67,21,Yates Dam,AL,21-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.57944444444445,-85.89166666666668,3150110,South Atlantic Gulf,1928,25.0,33134.158415841586,0.15129752701297527,Tallapoosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
68,26,E C Gaston,AL,26-1,#not reported,CL-OT-ST,Yes,Once-Through,Coal,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1960,272.0,1295433.0,0.5436782332796132,Coosa River,Surface Water,64364.1831459499,296.60913892142815,47088.98955,25908.66,64771.65,323.85825,129.5433,410.652261,1
69,26,E C Gaston,AL,26-2,#not reported,CL-OT-ST,Yes,Once-Through,Coal,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1960,272.0,1177316.0,0.4941058957829707,Coosa River,Surface Water,58495.48579097272,269.56445064964385,42795.4366,23546.32,58865.8,294.329,117.7316,373.209172,2
70,26,E C Gaston,AL,26-3,#not reported,CL-OT-ST,Yes,Once-Through,Coal,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1961,272.0,1645389.0,0.6905507151490733,Coosa River,Surface Water,84573.12603617285,464.54570297562145,59809.89015,32907.78,82269.45,411.34725,164.5389,521.588313,3
71,26,E C Gaston,AL,26-5,#not reported,CL-RC-ST,Yes,Recirculating,Coal,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1974,952.0,5929883.0,0.7110580704884694,Coosa River,Surface Water,5685.326461942848,1108.756612910016,5959.532415,2964.9415,7115.8596,4073.829621,2846.34384,6522.8713,5
72,26,E C Gaston,AL,26-GT4,#not reported,OL-NA-CT,No,None,Oil,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1970,21.2,705.9999999999984,0.0038015852502799948,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT4
73,26,E C Gaston,AL,26-ST4,#not reported,CL-OT-ST,Yes,Once-Through,Coal,33.244166666666665,-86.45666666666666,3150107,South Atlantic Gulf,1962,244.8,1362633.0,0.6354236614737219,Coosa River,Surface Water,70039.44504919405,384.7146813809865,49531.70955,27252.66,68131.65,340.65825,136.2633,431.954661,ST4
74,34,Rollins,CA,34-1P,Nevada Irrigation District,HY-NA-HY,No,None,Hydropower,39.13361111111111,-120.95194444444445,18020126,California,1980,12.1,57824.0,0.5455300200007548,Bear River,Surface Water,0.0,0.0,0,0,0,0,0,0,1P
75,38,Millers Ferry,AL,38-1,United States Government,HY-NA-HY,No,None,Hydropower,32.12083333333334,-87.39805555555556,3150203,South Atlantic Gulf,1970,33.7,98140.66666666666,0.3324413190069057,Alabama River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
76,38,Millers Ferry,AL,38-2,United States Government,HY-NA-HY,No,None,Hydropower,32.12083333333334,-87.39805555555556,3150203,South Atlantic Gulf,1970,33.7,98140.66666666666,0.3324413190069057,Alabama River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
77,38,Millers Ferry,AL,38-3,United States Government,HY-NA-HY,No,None,Hydropower,32.12083333333334,-87.39805555555556,3150203,South Atlantic Gulf,1970,33.7,98140.66666666666,0.3324413190069057,Alabama River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
78,46,Browns Ferry,AL,46-1,Tennessee Valley Authority,NU-OT-ST,Yes,Once-Through,Nuclear,34.70416666666667,-87.11888888888888,6030002,Tennessee,1974,1152.0,8216132.579278763,0.8141620468748775,Wheeler Reservoir,Surface Water,0.0,0.0,364385.4798910132,205403.31448196908,492967.9547567258,2210.1396638259876,821.6132579278764,3286.4530317115054,1
79,46,Browns Ferry,AL,46-2,Tennessee Valley Authority,NU-OT-ST,Yes,Once-Through,Nuclear,34.70416666666667,-87.11888888888888,6030002,Tennessee,1975,1152.0,8216132.579278763,0.8141620468748775,Wheeler Reservoir,Surface Water,0.0,0.0,364385.4798910132,205403.31448196908,492967.9547567258,2210.1396638259876,821.6132579278764,3286.4530317115054,2
80,46,Browns Ferry,AL,46-3,Tennessee Valley Authority,NU-OT-ST,Yes,Once-Through,Nuclear,34.70416666666667,-87.11888888888888,6030002,Tennessee,1977,1190.0,8487150.841442473,0.8141620468748775,Wheeler Reservoir,Surface Water,0.0,0.0,376405.1398179737,212178.77103606184,509229.0504865484,2283.0435763480255,848.7150841442473,3394.860336576989,3
81,47,Colbert,AL,47-1,Tennessee Valley Authority,CL-OT-ST,Yes,Once-Through,Coal,34.74388888888889,-87.84861111111111,6030005,Tennessee,1955,200.0,1240029.0,0.7077791095890411,Tennessee River,Surface Water,75317.92503495826,3.819948523353362,45075.05415,24800.58,62001.45,310.00725,124.0029,393.089193,1
82,47,Colbert,AL,47-2,Tennessee Valley Authority,CL-OT-ST,Yes,Once-Through,Coal,34.74388888888889,-87.84861111111111,6030005,Tennessee,1955,200.0,1211623.0,0.6915656392694064,Tennessee River,Surface Water,73592.57749990624,3.732442942633576,44042.49605,24232.46,60581.15,302.90575,121.1623,384.084491,2
83,47,Colbert,AL,47-3,Tennessee Valley Authority,CL-OT-ST,Yes,Once-Through,Coal,34.74388888888889,-87.84861111111111,6030005,Tennessee,1955,200.0,1076163.0,0.6142482876712329,Tennessee River,Surface Water,65364.8940140882,3.3151541316675046,39118.52505,21523.26,53808.15,269.04075,107.6163,341.143671,3
84,47,Colbert,AL,47-4,Tennessee Valley Authority,CL-OT-ST,Yes,Once-Through,Coal,34.74388888888889,-87.84861111111111,6030005,Tennessee,1955,200.0,1246820.0,0.7116552511415525,Tennessee River,Surface Water,75730.4025083983,3.8408684134705235,45321.907,24936.4,62341,311.705,124.682,395.24194,4
85,47,Colbert,AL,47-5,Tennessee Valley Authority,CL-OT-ST,Yes,Once-Through,Coal,34.74388888888889,-87.84861111111111,6030005,Tennessee,1965,550.0,2883318.0,0.5984470734744707,Tennessee River,Surface Water,175129.39534151682,8.882152221003032,104808.6093,57666.36,144165.9,720.8295,288.3318,914.011806,5
86,47,Colbert,AL,47-GT1,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT1
87,47,Colbert,AL,47-GT2,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT2
88,47,Colbert,AL,47-GT3,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT3
89,47,Colbert,AL,47-GT4,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT4
90,47,Colbert,AL,47-GT5,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT5
91,47,Colbert,AL,47-GT6,Tennessee Valley Authority,NG-NA-CT,No,None,Natural Gas,34.74388888888889,-87.84861111111111,6030005,Tennessee,1972,59.5,245.375,0.00047077049998081426,Tennessee River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT6
